top - 12:04:26 up 10 days, 20:14,  4 users,  load average: 2.39, 2.36, 2.11
Tasks: 332 total,   3 running, 329 sleeping,   0 stopped,   0 zombie
%Cpu(s):  8.9 us,  4.4 sy,  0.0 ni, 86.7 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st 
MiB Mem :  15987.2 total,    389.9 free,   4610.0 used,  11348.1 buff/cache     
MiB Swap:  12288.0 total,  10698.8 free,   1589.2 used.  11377.2 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
2858490 tanish    20   0   19056   1756   1508 R 100.0   0.0    4d+12h python
      1 root      20   0   24560  10644   5444 R   0.0   0.1  20:07.80 systemd
      2 root      20   0       0      0      0 S   0.0   0.0   0:01.10 kthreadd
      3 root      20   0       0      0      0 S   0.0   0.0   0:00.00 pool_wo+
      4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
      5 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
      6 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
      7 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
      8 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     13 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     14 root      20   0       0      0      0 I   0.0   0.0   0:00.00 rcu_tas+
     15 root      20   0       0      0      0 I   0.0   0.0   0:00.00 rcu_tas+
     16 root      20   0       0      0      0 I   0.0   0.0   0:00.00 rcu_tas+
     17 root      20   0       0      0      0 S   0.0   0.0   0:20.86 ksoftir+
     18 root      20   0       0      0      0 I   0.0   0.0   6:20.68 rcu_pre+
     19 root      20   0       0      0      0 S   0.0   0.0   0:00.00 rcu_exp+
     20 root      20   0       0      0      0 S   0.0   0.0   0:13.69 rcu_exp+
     21 root      rt   0       0      0      0 S   0.0   0.0   0:05.75 migrati+
     22 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     23 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/0
     24 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/2
     25 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     26 root      rt   0       0      0      0 S   0.0   0.0   0:05.68 migrati+
     27 root      20   0       0      0      0 S   0.0   0.0   0:13.88 ksoftir+
     30 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/4
     31 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     32 root      rt   0       0      0      0 S   0.0   0.0   0:06.06 migrati+
     33 root      20   0       0      0      0 S   0.0   0.0   0:13.17 ksoftir+
     35 root       0 -20       0      0      0 I   0.0   0.0   0:20.22 kworker+
     36 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/6
     37 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     38 root      rt   0       0      0      0 S   0.0   0.0   0:05.89 migrati+
     39 root      20   0       0      0      0 S   0.0   0.0   0:13.06 ksoftir+
     42 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/1
     43 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     44 root      rt   0       0      0      0 S   0.0   0.0   0:04.68 migrati+
     45 root      20   0       0      0      0 S   0.0   0.0   0:14.30 ksoftir+
     48 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/3
     49 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     50 root      rt   0       0      0      0 S   0.0   0.0   0:04.72 migrati+
     51 root      20   0       0      0      0 S   0.0   0.0   0:09.78 ksoftir+
     54 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/5
     55 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     56 root      rt   0       0      0      0 S   0.0   0.0   0:04.75 migrati+
     57 root      20   0       0      0      0 S   0.0   0.0   0:09.28 ksoftir+
     60 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/7
     61 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     62 root      rt   0       0      0      0 S   0.0   0.0   0:04.74 migrati+
     63 root      20   0       0      0      0 S   0.0   0.0   0:15.82 ksoftir+
     66 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kdevtmp+
     67 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     68 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kauditd
     69 root      20   0       0      0      0 S   0.0   0.0   0:02.51 khungta+
     70 root      20   0       0      0      0 S   0.0   0.0   0:00.39 oom_rea+
     73 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     74 root      20   0       0      0      0 S   0.0   0.0  18:48.15 kcompac+
     75 root      25   5       0      0      0 S   0.0   0.0   0:00.00 ksmd
     76 root      39  19       0      0      0 S   0.0   0.0   0:03.17 khugepa+
     77 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     78 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     79 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     80 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/9-a+
     83 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     84 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     85 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     86 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     87 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     88 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     89 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 watchdo+
     90 root       0 -20       0      0      0 I   0.0   0.0   0:20.14 kworker+
     95 root      20   0       0      0      0 S   0.0   0.0 188:04.05 kswapd0
     96 root      20   0       0      0      0 S   0.0   0.0   0:00.00 ecryptf+
     97 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     98 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
